# Table format: 2D
# table_unit = Nm
# axis1_unit = V
# axis2_unit = rev/min
# Generated by Electric Motor Tables Creator tool of Simcenter Amesim 17 (2020-04-28 19:34:12)
# Parameters used: archi = 1 power = 30000.0W torque = 200.0Nm speed = 6000.0rev/min voltage = 400.0V ratio = 1.5 nbrW = 10.0 nbrT = 10.0
4
13
     1.000000e+02     3.400000e+02     4.000000e+02     4.600000e+02
     0.000000e+00     6.666667e+02     1.333333e+03     1.432394e+03     2.000000e+03     2.666667e+03     3.333333e+03     4.000000e+03     4.666667e+03     5.333333e+03     6.000000e+03     6.300000e+03     9.000000e+03
     3.000000e+02     3.000000e+02     3.000000e+02     3.000000e+02
     1.727200e+02     3.000000e+02     3.000000e+02     3.000000e+02
     8.924449e+01     2.661462e+02     2.910729e+02     3.000000e+02
     8.318885e+01     2.533223e+02     2.811498e+02     2.977477e+02
     5.984166e+01     1.931748e+02     2.218478e+02     2.475509e+02
     4.497134e+01     1.486568e+02     1.727200e+02     1.956617e+02
     3.601035e+01     1.202824e+02     1.404218e+02     1.600126e+02
     3.002367e+01     1.008411e+02     1.180148e+02     1.348785e+02
     2.574235e+01     8.674588e+01     1.016651e+02     1.163918e+02
     2.252897e+01     7.607825e+01     8.924449e+01     1.022828e+02
     2.002844e+01     6.773180e+01     7.950288e+01     9.118466e+01
     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
